n,p,J,E,Delta_E,State,Parity
9,2,9/2,0,,,
9,2,9/2,216,,1,
9,2,9/2,"1902,49",,,
9,2,9/2,"2233,69",,,
9,2,9/2,219,,1,
9,2,11/2,220,,1,
9,2,11/2,221,,1,
9,2,13/2,"1414,11",,,
9,2,17/2,"2067,91",,,
9,2,21/2,"2267,4",,,
9,2,23/2,"2940,1",,,
9,2,25/2,"3545,6",,,
10,1,9/2,0,,,
10,2,0,0,,,
10,2,2,"1509,51",,,
10,2,4,"2282,61",,,
10,2,6,"2612,41",,,
10,2,8,"2760,52",,,
10,3,7/2,"680,58",,,
10,3,9/2,0,,,
10,3,9/2,235,,1,1
10,3,11/2,"1515,95",,,
10,3,13/2,"1434,42",,,
10,3,17/2,"2184,84",,,
10,3,21/2,"2535,3",,,
10,4,0,0,,,
10,4,0,241,1,,
10,4,2,"1430,71",,,
10,4,4,"2186,6",,,
10,4,6,2498,,,
10,4,8,"2644,1",,,
10,4,8,"3930,1",,,
10,4,10,"3991,2",,,
10,4,12,"4716,6",,,
10,5,3/2,249,1,1,
10,5,5/2,1180,,,
10,5,7/2,680,,,
10,5,9/2,0,,,
10,5,11/2,1430,,,
10,5,13/2,"1350,97",,,
10,5,15/2,2080,,1,
10,5,17/2,"2067,53",,,
10,5,17/2,"2264,1",,,
10,5,21/2,"2449,13",,,
10,5,25/2,"3723,7",,,
10,6,0,0,,,
10,6,2,"1514,31",,,
10,6,4,"2099,01",,,
10,6,0,263,,1,
10,6,3,264,,1,
10,6,4,265,,1,
10,6,6,"2424,19",,,
10,6,8,"2530,57",,,
10,6,7,"3184,03",,,
10,6,4,269,,1,
10,6,5,270,,1,
10,6,6,271,,1,
10,6,8,272,,1,
10,6,10,"3783,6",,,
10,6,12,"4573,6",,,
10,7,9/2,0,,,
10,7,13/2,"1289,91",,,
10,7,17/2,"2052,9",,,
10,7,21/2,"2343,3",,,
10,8,0,0,,,
10,8,2,"1395,1",,,
10,8,4,"2082,8",,,
10,8,6,"2281,1",,,
10,8,8,"2428,3",,,
9,9,0,0,,,
9,9,9,820,,,
